,inteiro_teor,ementa
157,"the c o rd (3rd class) gmalb / mm / scm / ab / cf seen, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-94940-54.2004.5.10.002, in which cláudia maria mello rosa is aggravating and aggravated united nations program for development - pnud, instituto Brazilian environment and renewable natural resources - ibama and union (pgu).
by the order under appeal, originating from eg.
counterclaims presented by the union and the first defendant on pages 289/309 and 310/329, respectively.
d. public ministry of labor for the knowledge and disregard of the interlocutory appeal (pages 338/341).
the examination of the present interlocutory appeal was impaired, in view of the knowledge and provision of the appeal filed by the first defendant.
this being the case, the ministers of the third class of the higher labor court agree, unanimously, to know the interlocutory appeal and, on the merits, understanding that their examination was impaired, to dismiss it.","interlocutory appeal of the claimant.

the examination of the present interlocutory appeal was impaired, in view of the knowledge and provision of the review appeal of the first defendant, since, with the recognition of the UN / UNDP's immunity from jurisdiction, there is no need to talk about subsidiary liability of the unity. interlocutory appeal against a known and deprived instrument."
158,"judgment 5th class emp / ci these notices of embargoes of declaration in the interlocutory appeal were reviewed, reported and discussed in appeal No.
tst-ed-airr-13941-47.1997.5.15.010, in which it is an embargoing union (successor to the extinct rffsa) and embargoed zanote rosa son.
impenetrability of good v. The ruling asserted that, even though the rffsa was extinguished and succeeded by the union (law 11.483 / 2007), such succession does not imply the invalidity of the procedural acts practiced until then, including regarding the attachment, by the content of the jurisprudential guidance 343 of sdi-1 of the and.
the affront, if characterized, is reflexive, thus not fulfilling the requirements of art.
896, § 2, of clt and summary 266 of e. tst.
conclusion denego follow-up to the review resource.
therefore, the constitutional provisions invoked are unhurt.","declaration embargoes. addictions. inexistence.

if any of the defects specified in articles 535 of the cpc and 897-a of the clt are not evidenced, the opposition to the embargoes of declaration is not feasible.

declaration embargoes rejected."
159,"the c o rd (5th class class) bp / af visas, reported and discussed these documents of interlocutory appeal in magazine resource n ° tst-airr-16741-48.2007.5.02.004, in which is aggravating public farm in the state of são paulo and aggravated by david luiz and paulista company of metropolitan trains - cptm.
it is an interlocutory appeal filed against the order by which the appeal was denied.
the appeal seeks to demonstrate the satisfaction of the assumptions for processing the obstacle appeal.
counter-draft and counter-reasons to pages 230/252.
the public ministry of labor affirmed the need to issue an opinion, depending on the manifestation of pages.
i, from clt, are essential for the formation of the grievance instrument, namely: the power of attorney granted to the lawyer of the aggravated São Paulo metropolitan train company - cptm.
therefore, the absence of this procedural document makes it impossible to know the present appeal, as it is mandatory transfer.
in view of the foregoing, I am not aware of the interlocutory appeal, due to transfer disability.","interlocutory appeal. transfer disability. it is the burden of the aggravating factor to promote the formation of the appeal instrument with the necessary parts for the immediate judgment of the magazine appeal whose follow-up has been denied, if the appeal is provided, under penalty of not knowing, the content of art. 897, § 5, incs. i and ii, by clt.

grievance of an instrument that is not known."
160,"the c o rd (5th class class) bp / rt / This document of interlocutory appeal was reviewed, reported and discussed in resource magazine n ° tst-airr-237443-85.2004.5.02.006, in which innovative solutions engineering, constructions and assemblies ltda.
and aggravated walter costa dos santos, bankruptcy of jp engenharia ltda.
, the appeal seeks to demonstrate the satisfaction of the assumptions for processing the obstacle appeal.
counterflow to pages 8/11 and counter reasons to pages 12/15.
the appeal was not submitted to the opinion of the public labor ministry.
i and ii, of clt and in item x of normative instruction 16/99.
in view of the foregoing, I am not aware of the interlocutory appeal, due to transfer disability.","interlocutory appeal. transfer disability. absence of essential parts.

it is not known of an interlocutory appeal that does not present parts essential to its correct formation, in disagreement with the provisions of art. 897 § 5 °, incs. i and ii, of clt and in item x of normative instruction 16/99."
161,"judgment 7th class gjcfs / vd / acl / me these notices of embargoes of declaration were seen, reported and discussed in embargoes of declaration in interlocutory appeal in appeal of magazine no.
tst-ed-ed-a-airr-82842-86.1991.5.05.000, in which it is embargoing baker hughes Equipamentos ltda.
and vander delmagro and papaiz Nordeste Indústria e Comércio Ltda.
the defendant opposes motion for clarification, pages 388/393, alleging the existence of a contradiction in the judgment handed down by this group, pages 385/386.
it turns out, however, that there is no contradiction to be resolved.
it should be noted that the decision of the regional court annulled the sentence handed down in connection with embargoes on execution, pages 295/296, whose subject matter was only the intercurrent prescription, thus reinstating the first sentence, pages 238/240, so that execution continues.
it should be noted that the purpose of the declaration embargoes is to remedy the defect in the decision, aiming at improving the judgment, according to arts.","declaration embargoes. contradiction not configured.

if the defect pointed out in the embargoed judgment is not verified, it is necessary to reject the declaratory embargoes, which are not suitable for manifesting the party's nonconformity against the decision, as stated in arts. 897-a of the clt and 535 of the cpc.

declaration embargoes not provided."
162,"the c o rd (3rd class class) gmalb / as / ab / mc seen, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-87040-90.2006.5.17.000, in which antonio vazzoler neto and others are aggravating and aggravated federal savings bank - cef.
counter-draft to the interlocutory appeal on pages 22/30.
897, § 5 and item i, of the clt, under penalty of not knowing, the parties will promote the formation of the interlocutory appeal in order to allow, if provided, the immediate judgment of the denied appeal, instructing the interposition petition: i - mandatorily, with copies of the aggravated decision, of the certificate of the respective subpoena, the powers of attorney granted to the plaintiff's and the plaintiff's lawyers, the initial petition, the challenge, the original decision, proof of the appeal deposit and the payment of the costs.
requirements contained in the caput of § 5 of art.
compromised assumption of admissibility, I am not aware of the interlocutory appeal.","instrument appeal - absence of all essential parts.

the absence of parts essential to the formation of the interlocutory appeal prevents its regular processing. it is incumbent upon the interested party to ensure the proper formalization of its appeal (clt, art. 897, § 5; normative instruction nº 16/99, items iii and x). interlocutory appeal not known."
163,"the c o rd (6th class class) gmacc / hpgo / afs viewed, reported and discussed these notices of embargoes of declaration in resource of magazine n ° tst-ed-rr-287800-37.2001.5.02.004, in which it is embargo r. duprat r. s.a. without impugning the embargoes of declaration.
2 - merit of this sixth class, as to the allegation that the judgment given by the regional was ultra petite, with regard to the 40% fine on the deposits of fgts, adopted the understanding of not knowing about the magazine appeal in the face of the summary's obstacle 126 of the tst, as the regional has observed the inclusion of the express request for the payment of a 40% fine on the deposits.
in fact, the knowledge of the review appeal, in the point, finds obstacle in the impossibility of this superior court to promote the factual analysis of the records, as recommended in the summary 126, even because, expressly it is seen on page 07, in item 13, the express request to the testilla fine.
in view of the foregoing, I dismiss this.","declaration embargoes. omission.

the opposite declaratory embargoes are not successful in order to remedy the omission not verified in the embargoed judgment.

known and not provided for declaratory embargoes."
164,"the c o rd (5th class class) bp / rt / visa, reported and discussed these notices of embargoes of declaration in resource of magazine n ° tst-ed-rr-147600-73.2004.5.02.046, in which is embargoing volkswagen do brasil ltda.
the fifth class, through the judgment of pages 471/480, was unaware of the appeal filed by the defendant.
the defendant opposes embargoes of declaration to pages 483/486, claiming omission in the judgment.
I determined the presentation of the feat on the table, for judgment, in the regimental form.
vote timely embargoes of declaration and signed by a qualified attorney.","declaration embargoes. host to provide clarification. embargoes of declaration accepted to, providing the necessary clarifications, enable the correct understanding of the scope of the embargoed decision."
165,"judgment 3rd class rmw / db these visas of embargoes of declaration were reviewed, reported and discussed in a resource of magazine n ° tst-ed-rr-200600-71.2004.5.15.009, in which telecommunications of são paulo s.a. against the judgment on pages 694-700, for which this third class met and granted the plaintiff's review appeal to order the defendant to pay the additional dangerousness and reflexes, opposes the motion for clarification (pages 702-8) to the defendant.
535, i and ii, of the cpc, deems the res judicata omitted.
on a table for judgment, in the regimental form.
claims that the ministers of this e. third class heard about the complainant's review appeal, due to divergence in jurisprudence, and, on the merits, they granted it to, reforming the regional judgment, order the defendant to pay the additional dangerousness and reflexes is that nothing was mentioned as to the value of the sentence (page 703).
the clarifying claim does not deserve to be accepted.","declaration embargoes. magazine feature. conviction value.

declaration embargoes are rejected, in the absence of the cases provided for in arts. 897-a of the clt and 535 of the cpc.

declaration embargoes rejected."
166,"judgment 5th class emp / cc seen, reported and discussed these notices of embargoes of declaration in resource of magazine n ° tst-ed-rr-138400-96.2007.5.15.010, in which is embargoing municipal foundation of higher education of marília and embargo appeared evangelist da silva.
the fifth class, through the judgment of pages 168-176-v, was unaware of the defendant's review appeal regarding the effects of spontaneous retirement.
referring to the reasons that justify the embargoes of declaration, it appears to consist of mere non-conformity with the decision that maintained the defendant's condemnation to pay the fine of 40% of the ggt, on the grounds that the contested decision is in line with the oj 361 of the sbdi-1 / tst, focusing on the terms of the summary no.
333 of the tst and of article 896, § 4 of the clt.
moreover, the overviews and jurisprudential guidelines are not rules in a formal sense, but only the dominant jurisprudential position of a court.","declaration embargoes. addictions. inexistence.

if any of the defects specified in articles 535 of the cpc and 897-a of the clt are not evidenced, the opposition to the embargoes of declaration is not feasible.

declaration embargoes rejected."
167,"the c o rd (4th class) bl / lf seen, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-114340-30.2007.5.02.006, in which aggravating attentive brazil s.a. counter-draft presented on pages 341/350.
vote the aggravating assertion is that, as it is a company essentially providing call center services, the collective rule to be applied to the category of its employees is the collective agreement validly signed with sintetel, the entity that best aggregates the company's preponderant activity.
under this approach, it violates articles 5, ii, 8, ii, iii, 7, xxvi, of the constitution.
sintratel, which represents this professional category.
5, ii, 8, ii, iii, 7, xxvi, of the constitution.
of the above, I dismiss the interlocutory appeal.","interlocutory appeal - review appeal - extremely brief procedure.

in the cases subject to the summary procedure, only a review appeal will be admitted due to the tst jurisprudence summary and / or direct violation of the constitution, pursuant to § 6 of art. 896 of clt. interlocutory appeal that was dismissed."
168,"the c o rd (3rd class class) gmalb / ss / scm / ab / cf These visas of embargoes of declaration were reviewed, reported and discussed in appeal no.
there is sufficient reasoning in the embargoed judgment, which clearly explains the reason why this group is guided by the factual framework outlined by v. judgment, dismissed the allegation of contrariety to the above mentioned summary.
if the party does not agree with the result achieved, it must manage the appropriate resource and not postpone the solution of the process with manifestly delaying incidents.
it should be noted that the supreme supreme federal court has already ruled that guaranteeing access to the judiciary does not mean that the theses presented by the parties will be assessed according to their convenience (agairr 215.976-2 / p. ; in dj of 2.10.1998, section 1, p. 008).
so it is that, opposed to the drift of the situations referred to in arts.
535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration.","declaration embargoes. misplacement.

dissatisfaction with the outcome of the judgment will require other measures, according to the applicable procedural guidelines. so it is that, opposed to the drift of the situations referred to in arts. 535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration."
169,"judgment 1st class vmf / cm / lin / a visas, reported and discussed these notices of embargoes of declaration in resource of magazine n ° tst-ed-rr-128700-04.2005.5.04.002, in which ilse cerqueira torelly is embarantes and state electric energy generation and transmission company is embargoed - ceee-gt and the ceee social security foundation - eletroceee.
627-632, the claimant opposes the present motion for clarification.
the hypothesis foreseen in the summary no.
7, xxix, of the constitution of the republic .. ........................................ .................................................. .................... the claimant, in the present embargoes, insists on the argument that the limitation on the hypothesis of the case appears to be partial.
it happens that there has already been an examination of the point put forward by the author, in the sense that the claim espoused in the present labor claim is subject to the provisions of the summary no.","embargoes of declaration in review appeal - omission - nonexistence.

if the embargoed judgment does not contemplate any defect, among those listed in art. 535, i and ii of the cpc, the measure brought against him, which undeniably pursues a new trial of the matter, does not warrant approval.

declaration embargoes without."
170,"judgment 6th class gmmgd / lc / jb / ef seen, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-1359-35.2010.5.10.000, which is aggravating for damião da silva santos ferreira and aggravating for raimundo césar jacobina da silva.
the presidency of the 10th regional denied the complainant's review appeal (pages 68-69).
vote aggravating knowledge of unfounded instrument.
when filing the interlocutory appeal, the claimant does not renew the preliminary of nullity, does not reiterate the articulated legal and constitutional violations, nor does he challenge the specific basis of the decision that denied the continuation of the appeal, that is, he does not protest the application of the substantiated in summary 126 / tst, as an obstacle to the processing of the magazine appeal.
to solve the dispute from a different perspective.
514, ii, of the cpc, the appeal does not meet the extrinsic assumption of adequacy, under the terms of the 422 / tst summary.","interlocutory appeal. magazine feature. unfounded. application of 422 / tst.

the interlocutory appeal that does not challenge the basis adopted in the monocratic decision denying denial of follow-up to a magazine appeal, under the terms of art. 514, ii, cpc, and should therefore not be known.

interlocutory appeal not known."
171,"judgment 5th class emp / mc / This document of interlocutory appeal was reviewed, reported and discussed in resource magazine n ° tst-airr-1610-15.2010.5.15.000, in which union is aggravating (pgf) and better transport ltda.
in the draft, the aggravating factor calls for the reform of the admissibility order.
the records were not sent to the attorney general's office, in view of the provisions of article 83 of the internal regulations of the superior labor court.
vote i - acknowledgment the interlocutory appeal is timely, signed by a qualified lawyer and is properly trained.
ii - merit the union filed an interlocutory appeal against the dispatch of pages.
overnight when understanding the indemnity nature of the portion paid as overnight stays, failing to accept the incidence of the social security contribution, v. The judgment, in addition to being based on the evidence, gave a reasonable interpretation to the matter under appeal, which makes the appeal inadmissible, in accordance with precedents 126 and 221, ii, of e. tst.
conclusion denego follow-up to the review resource.","interlocutory appeal. admissibility. magazine feature.

the interlocutory appeal is dismissed when the appellant does not dismantle the grounds contained in the denial order of the appeal.

interlocutory appeal that was dismissed."
172,"the c o rd (6th class class) gmacc / fsc / jr visas, reported and discussed these notices of embargoes of declaration in embargoes of declaration in resource of magazine n ° tst-ed-ed-rr-12400-51.2003.5.04.001, in which it is embargoing ana maria dall agnese and embargos association hospital mills - hmv.
judgment on pages 393-395v, alleging the existence of omissions and obscurity to be remedied.
it also requires the granting of a modifying effect.
2 - merit the claimant filed the second appeal for clarification of motions in which he insists on the thesis that the ruled embargo did not manifest itself on the incidence of the obstacle registered in the summary 126 of the tst to prevent the knowledge of the appeal of the defendant's search.
as duly enshrined in the judgment on pages 594/595, which considered the first motion for clarification, the purpose of said appeal is to remedy the defect in the decision, aiming at improving the judgment.","declaration embargoes.

the nonconformity of the appellant that the obstacle of the summary 126 should focus, making the knowledge of the defendant's magazine appeal unfeasible does not constitute an allegation of omission in the res judicata, but rather an intention to reform, which is incompatible with the nature of the declaration embargoes . declaration embargoes not provided."
173,"the c o rd (6th class class) gmacc / trd / jr This document of interlocutory appeal was reviewed, reported and discussed in resource of magazine n ° tst-airr-734640-23.2003.5.12.003, in which brasil telecom s.a. and milton dino de aguiar and teleperformance brasil trade and services ltda.
it seeks to demonstrate the satisfaction of the assumptions for processing the obstacle appeal.
counter-draft to the interlocutory appeal and counter-reasons to the review resource were not presented.
99 of the tst, the party must ensure the correct formation of the interlocutory appeal.","interlocutory appeal.

absence of a copy of the deposit deposit payment slip.

the interlocutory appeal is an obstacle to their knowledge, since the defendant did not transfer a copy of the withdrawal form for the appeal deposit of the magazine resource, which is essential for assessing the regularity of the preparation. interlocutory appeal not known."
174,"judgment 2nd class gjcfs / ec / sm seen, reported and discussed these notices of embargoes of declaration in resource of magazine n ° tst-ed-rr-1847900- 29.2006.5.09.065, in which tradition is planning and technology of services ltda.
and embaronaves Transportes e Encomendas Ltda.
however, the material error does not stain the decision, since, in the operative part of the embargoed judgment, which effectively forms a material res judicata, the values ​​attributed as indemnity for moral damages are correctly stated.
in another line, even though the claim of the embarante does not fit in the hypotheses foreseen in arts.
535 of the cpc and 897-a, of the clt, the determination for the late payment interest to be levied from the date of filing the lawsuit finds legal support in art.
I partially grant the embargoes of declaration only to provide clarifications.","declaration embargoes. omission.

in which case the judgment does not suffer from a defect of omission, however, it deserves only provision to provide the clarifications required by the party.

known and partially provided for declaratory embargoes."
175,"the c o rd (2nd class ac) gjcrfp / lbp / bz / rp viewed, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-182740-89.2007.5.15.001, in which capital services of surveillance and security Ltda.
there was no counter-draft or counter-reason.
the preparation is satisfied (pages 296, 340, 338, 508, 552 and 553).
witness - intrinsic assumptions - suspicion of not accepting the suspicion of the complainant's witness, v. judgment, in addition to being based on the evidence, ruled in accordance with precedent 357 of e. tst.
incidence of overviews 126 and 333 of e. tst.
conclusion denego follow-up to the magazine appeal.
” ( That said, the ministers of the second class of the higher labor court agree unanimously to dismiss the interlocutory appeal.","interlocutory appeal in magazine appeal. suspicion - witness.

appeal from a magazine that does not deserve admissibility in view of the application of precedents No. 126, 333 and 357 of this court, as well as because there was no glimpse of an offense to arts. 16, 17, item ii, 405, § 3, item iv, of cpc, 319, item iii, of cpp and 828, caput of clt.

interlocutory appeal."
176,"sdi-1) bp / lc visas, reported and discussed these embargoes in embargoes of declaration in resource of magazine n ° tst-e-ed-rr-233100-51.2000.5.02.043, in which is embargo delso sosnoski filho and embargada bridgestone - firestone do brasil - Indústria e Comércio Ltda.
unconstituted, the claimant appeals embargoes (pages 237/247).
transcribes edges for confronting theses.
the appeal was not submitted to the opinion of the public labor ministry.
on the other hand, the class was expressed in stating that there was no proof of duress.
Now, the verification of the veracity of the class's assertion depends on a new assessment of the facts, a procedure that is prohibited in the context of an appeal against embargoes (summary 126 of this court).","overtime. discharge.

the verification of the veracity of the class's assertion depends on a new assessment of the facts, a procedure that is prohibited in the context of an embargo appeal (summary 126 of this court).

embargo appeal that is not known."
177,"judgment 5th class ka / ld viewed, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-1500-83.2007.5.15.014, in which josé antônio saviolli is aggravating and aggravated santander (brasil) s / a. through the decision of pages 389, in an admissibility judgment, the 15th region's trt denied following up on the review appeal, because the admissibility assumptions referred to in article 896 of the clt were not fulfilled.
counter-draft and counter-reasons to pages 408/419.
merit, the regional court, in the first admissibility judgment (art.
thus, the assessment of offense to the constitutional and legal provisions invoked and divergence in jurisprudence is not feasible.
incidence of overviews 126 and 333 of e. tst.","interlocutory appeal. magazine feature. banking - overtime. banking - a position of trust.

an interlocutory appeal is dismissed by which the appellant is unable to disprove the grounds for the denial order of the appeal."
178,"the c o rd (5th class class) bp / rt / This document of interlocutory appeal was seen, reported and discussed in resource of magazine n ° tst-airr-68940-89.2009.5.10.000, in which solange cristina da silva cavalcante and aggravated national supply company - conab.
it is an interlocutory appeal filed against the order by which the appeal was denied.
the appeal seeks to demonstrate the satisfaction of the assumptions for processing the obstacle appeal.
counterflow to pages 148/149 and counterarguments to pages 150/156.
the appeal was not submitted to the opinion of the public labor ministry.
vote it appears that the plaintiff in his motion for interlocutory appeal does not challenge the denial order, but merely reiterates, ipsis literis, the arguments made in the appealed review appeal, with respect to the issue of violation of res judicata.
this being said, the ministers of the fifth class of the higher labor court agree, unanimously, not to know the bill of instrument.","interlocutory appeal. lack of specific challenge to the denial order. the interlocutory appeal, which, instead of combating the fundamentals of the aggravated decision, is limited to reproducing the reasons for the review appeal, according to the guidance concentrated in the 422 of this court.

grievance of an instrument that is not known."
179,"judgment 3rd class gmhsp / ef / sk / rs these visas of interlocutory appeal were reviewed, filed and discussed in an appeal filed by magazine No.
the defendant lodges an appeal against the pages.
the presidency of this court, by order on page 105, denied proceeding with the interlocutory appeal of the defendant, based on article 893, § 1, of the clt and in the summary 214 / tst, with these grounds: the decision of the regional that removed the prescription and determined the return of the case to the labor court, for examination of other requests, is interlocutory in nature and, as such, is not subject to immediate appeal, under the terms of art.
893, § 1º, of the clt, with the summary no.
these grounds and considering the provisions of arts.
in view of the foregoing, I dismiss the appeal.
That said, the ministers of the third class of the higher labor court agree, unanimously, to dismiss the appeal.","interlocutory appeal against appeal in magazine appeal. interlocutory decision.

scoresheet 214 / tst. immediate irrecoverability. the interlocutory appeal is dismissed when the party is unable to remove the grounds for the aggravated decision, consistent with the application of the 214 / tst precedent.

interlocutory appeal dismissed."
180,"judgment 6th class acv / vm / b visa, report and discussion of these documents of embargoes of declaration in resource of magazine n ° tst-ed-rr-53500-08.2007.5.15.012, in which Brazilian petroleum sa - petrobras and embargoed by antonio marcos do Nascimento and mont sul montages is embargoed e industrial installations ltda .. the defendant opposes embargoes of declaration (pages 307/313) to r. decision rendered on pages 302/304-front and back of the case.
vote i - knowledge of regularly opposed declaration embargos.
ii - merit to the defendant opposes embargoes of declaration (pages 307/313) requiring that this c. the class to expressly clarify the reasons that led to the inapplicability of article 71, paragraph 1, of law 8,666 / 93, given its condition as a mixed capital company, as well as the other constitutional provisions mentioned (arts.
thus, I reject the defendant's declaration embargoes.","declaration embargoes. subsidiary liability. policyholder services. limitation. omission. hypothesis in which it is not characterized.

the inexistence in v. judged to be omission, contradiction or obscurity in the exact terms of article 535 of the code of civil procedure, leads to the rejection of embargoes of declaration."
181,"the c o rd (3rd class class) gmalb / grm / scm / ab / mn visas, reported and discussed these notices of embargoes of declaration in resource of magazine n ° tst-ed-rr-118800-83.2008.5.03.003, in which schincariol logistical and distribution ltda.
and embargoed lippaus distribuidora ltda.
it appears from the simple reading of the application for the review appeal (pages 481/499) that the provisions in question were not even raised by the party when the appeal was filed, which, obviously, prevents any manifestation of this egregious class under such a focus .
on the other hand, as stated in the embargoed decision, the party does not help the unreasonable indication of constitutional and legal provisions, which it believes are violated, without being relevant to the topic under discussion or which satisfies the requirement of prequestioning (summary 297 / tst ).
opposed to the drift of the situations referred to in arts.
535, items i and ii, of the cpc and 897-a and single paragraph, of the clt, rejected are the embargoes of declaration.","declaration embargoes. misplacement.

interposed to the drift of the situations referred to in arts. 535 of the cpc and 897-a of the clt, rejected are the embargoes of declaration. known and rejected declaration embargoes."
182,"the c o rd (6th class class) gmmgd / per / jb / jr these visas of declaration embargoes were reviewed, reported and discussed in a resource of magazine n ° tst-ed-rr-218500-20.2007.5.15.001, in which the public estate of the state of são paulo is embargoed and heloísa marques and others are arrested.
sixth class, through the judgment on pages 310-313, partially granted the appeal filed by the defendant to remove from the conviction the concession of the benefit called premium license.
the defendant lodges a declaration embargo on pages 315-316. you are right, even if for a different reason.
6th class, in order to remove from the conviction the granting of the benefit called premium license, fully upheld the appeal.
in view of the above, with supedaneous in art.
that said, the ministers of the sixth class of the higher labor court agree, unanimously, to grant the embargoes of declaration in order to, without giving them a modifying effect, correct material error, under the terms of the reasoning.","declaration embargoes.

material error.

declaration embargoes provided only to remedy a material error in the embargoed judgment, without modifying effect.

embargoes of declaration provided to correct material error, without modifying effect in the res judicata."
183,"the c o rd (6th class class) gmmgd / ja / jr visas, reported and discussed these notices of embargoes of declaration in interlocutory appeal in resource of magazine n ° tst-ed-airr-30441-45.2007.5.05.000, in which Brazilian petroleum sa - petrobras and embargos petrobrás de Seguridade social - petros and antônio augusto lima dos santos and others.
alleges the occurrence of omission in the contested judgment.
ii) merit under the guise of omission, the defendant alleges that this dt.
class, by adopting the transitional oj 62 / sbdi1 / tst, consolidated jurisprudential understanding frankly contrary to the provisions of articles 7, xxvi; 8, iii, and 202, caput, of the federal constitution, due to a non-existent parity between active and inactive (page 345).
further alleges that, due to the incompetence of the labor justice, an offense to arts.
5, liv and lv, 93, ix, 114 and 202, § 2, of cf.
in fact, the embargoes of declaration do not, in all evidence, constitute a capable means to satisfy the claim now deduced.
therefore, I dismiss the motion for clarification.","declaration embargoes. omission. inexistence.

the omission to justify the filing of embargoes of declaration is only established when the judge stops expressing his opinion on the arguments outlined in the previously filed appeal. in this case, there is no such defect, disciplined in arts. 897-a from clt and 535 / cpc.

declaration embargoes without."
184,"the c o rd (2nd class ac) gmcb / raf / rf This document of interlocutory appeal was reviewed, reported and discussed in resource magazine n ° tst-airr-152741-38.2008.5.03.000, in which the Brazilian association of banks - abbc is aggravating and the commercial and importing society hermes s / a is aggravated , paulo cesar pioli de oliveira and transpev processamentos e Serviços ltda.
the plaintiff alleges, in summary, that its appeal deserves to be unblocked, as the framework of the hypothesis in article 896, “a” and “c”, of the clt (ds.
counterminute attached to pages 154/157 and counterarguments to the magazine resource inlaid on pages 158/162, both presented by the third defendant - Sociedade Comercial e Importer Hermes Ltda.
the d. public labor ministry did not officiate in the file.
That said, the ministers of the second class of the higher labor court agree, unanimously, not to be aware of the interlocutory appeal.","interlocutory appeal. disabled transfer. denial decision. not knowledge.

1. the deficient transfer, in the absence of the full copy of the decision denying the review appeal, precludes knowledge of the interlocutory appeal, pursuant to item x of normative instruction No. 16/99 and § 5 of article 897 of the clt.

2.

grievance of an instrument that is not known."
185,"the c o rd (6th class class) gmacc / trd / This document of interlocutory appeal was seen, reported and discussed in magazine resource n ° tst-airr-89040-19.2003.5.04.001, in which clóvis hanna kemel and aggravated brasil telecom s.a. it seeks to demonstrate the satisfaction of the assumptions for processing the obstacle appeal.
vote knowledge the interlocutory appeal is an obstacle to its knowledge, since the claimant did not transfer a copy of the publication certificate of the aggravated decision, which is essential to the formation of the appeal instrument.
9,756, dated 12.17.1998) (emphasis added).
it should be added that, under the terms of item x of normative instruction 16/99 of the tst, the party must ensure the correct formation of the interlocutory appeal.","interlocutory appeal. transfer disability. copy of the certificate of publication of the aggravated decision.

the interlocutory appeal is an obstacle to his knowledge, since the claimant did not transfer a copy of the certificate of publication of the aggravated decision, which is essential for the formation of the appeal instrument (art. 897, § 5, i and ii, of the clt). interlocutory appeal not known."
186,"judgment 5th class ka / jbj / cmc viewed, reported and discussed these records of interlocutory appeal against appeal in a magazine resource n ° tst-ag-airr-71540-26.2007.5.15.003, in which rosana appeared teixeira and aggravated foundation socio-educational service center to the teenager - home foundation.
the claimant then lodges an interlocutory appeal, sustaining the viability of the interlocutory appeal and requesting its approval, so that it can be judged (pages 224/227).
the public labor ministry opted for the dismissal of the appeal (opinion on pages 235).
897, § 5, of the clt and in items iii and x of normative instruction no.
the party's argument, that the law allows the pieces to be joined at a later time, cannot be accepted, since, according to the certificate of joining the pages.
8-v, the documents were only brought to the records on 9/15/2009, far exceeding the 10 (ten) day period provided for in art.
That said, the ministers of the fifth class of the higher labor court agree, unanimously, to dismiss the appeal.","grievance. interlocutory appeal. magazine feature. irregular representation.

the aggravating factor failed to undermine the fundamentals of the aggravated decision, not demonstrating the regularity of the instrument, which is necessary for the processing and judgment of the instrument's interlocutory appeal. interlocutory appeal dismissed."
187,"judgment 6th class acv / val seen, reported and discussed these documents of interlocutory appeal in magazine resource n ° tst-airr-41040-77.2007.5.17.001, in which elizabeth benedito de jesus is aggravating and aggravated holy spirit power plants s.a. - there was no manifestation by the public labor ministry.
vote reasons for not knowing there is no way of knowing the interlocutory appeal.
9,756, dated 12.17.98, which, in its art.
under penalty of not knowing, the parties will promote the formation of the interlocutory appeal in order to enable, if provided, the immediate judgment of the denied appeal, item iii of normative instruction No.
in view of the above, I am not aware of the instrument appeal.","interlocutory appeal. non-knowledge. of Law No. 9,756 / 98. transfer disability.

the instrument is not known when all the pieces named in item i of § 5 of art. 897, as well as those indispensable to disentangle the matter of contested merit."
188,"judgment 3rd class gmhsp / me / sk / smf visas, reported and discussed these records of interlocutory appeal against instrument appeal in magazine resource nº tst-ag-airr-296740-57.2005.5.02.000, in which reginaldo de lira filho is aggravated and aggravated union of educational institutions in the network particularly in the state of maranhão - sinterp / ma.
presidency of c. superior labor court, by means of r. dispatch to page 82, denied complying with the plaintiff's interlocutory appeal, due to the lack of authentication of the parts essential to the formation of the instrument, against which a procedural appeal is filed (pages 83-92 - facsimile; 93-102 - originals).
inapplicability (conversion of case law no.
13 of the cpc, whose application is restricted to the first degree court.
(","interlocutory appeal. representation irregularity.

the transfer of a copy of the power of attorney without proper authentication implies the absence of the document giving rise to the lack of knowledge of the appeal for irregular representation. grievance not known."
189,"judgment 2nd class jcrp / alx / aj / rp seen, reported and discussed these records of interlocutory appeal in magazine resource n ° tst-airr-123040-07.2006.5.15.011, in which it is aggravating construtora structural ltda.
aggravates the instrument against the order of fl.
vote on the grounds of interlocutory appeal, the defendant insists on the admissibility of the review appeal, on the grounds that demonstrated the fulfillment of the requirements of art.
307v; appeal presented on 1/16/2009 - fl.
intra-day break regarding such requests, judgment based on an analysis of the facts and evidence.
818 of the clt, since the guidelines on the burden of proof, inserted in such a device, are only applicable when the dispute lacks evidence elements.
thus, the decision remains aggravated by its own fundamentals, after meticulous analysis of the matter.","wage gap. extra hour. time in itinere. intra-day break.

appeal from a magazine that does not deserve admissibility in view of the application of Precedent No. 126 of this court.

interlocutory appeal."
